DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2022-03-05T00:00:00,2022-03-05T14:53:49.192,77,28,30,17,30,32,40,READY,false
2022-03-06T00:00:00,2022-03-06T15:55:18.603,79,25,30,23,30,31,40,READY,false
2022-03-07T00:00:00,2022-03-07T14:48:10.918,68,21,30,15,30,32,40,READY,false
2022-03-08T00:00:00,2022-03-08T14:45:10.22,75,26,30,19,30,30,40,READY,false
2022-03-09T00:00:00,2022-03-09T14:52:05.912,79,25,30,20,30,34,40,READY,false
2022-03-10T00:00:00,2022-03-10T12:51:40.452,74,22,30,22,30,30,40,READY,false
2022-03-11T00:00:00,2022-03-11T15:14:06.18,74,23,30,22,30,29,40,READY,false
2022-03-12T00:00:00,2022-03-12T16:31:28.648,78,28,30,20,30,30,40,READY,false
2022-03-13T00:00:00,2022-03-13T15:40:41.098,0,0,0,0,0,0,0,NO_DATA,true
2022-03-14T00:00:00,2022-03-14T12:18:34.339,69,23,30,21,30,25,40,READY,false
2022-03-15T00:00:00,2022-03-15T13:48:48.022,72,25,30,22,30,25,40,READY,false
2022-03-16T00:00:00,2022-03-16T14:04:52.876,67,24,30,19,30,24,40,READY,false
2022-03-17T00:00:00,2022-03-17T12:25:58.804,65,25,30,19,30,21,40,READY,false
2022-03-18T00:00:00,2022-03-18T12:56:46.138,72,25,30,17,30,30,40,READY,false
2022-03-19T00:00:00,2022-03-19T13:33:35.961,75,26,30,21,30,28,40,READY,false
2022-03-20T00:00:00,2022-03-20T14:37:42.333,71,23,30,23,30,25,40,READY,false
2022-03-21T00:00:00,2022-03-21T14:09:08.537,63,19,30,19,30,25,40,READY,false
2022-03-22T00:00:00,2022-03-22T15:50:00.051,76,25,30,22,30,29,40,READY,false
2022-03-23T00:00:00,2022-03-23T13:57:21.671,71,25,30,15,30,31,40,READY,false
2022-03-24T00:00:00,2022-03-24T22:30:29.037,77,21,30,26,30,30,40,READY,false
2022-03-25T00:00:00,2022-03-25T13:34:37.125,77,28,30,21,30,28,40,READY,false
2022-03-26T00:00:00,2022-03-26T14:57:03.86,74,26,30,21,30,27,40,READY,false
2022-03-27T00:00:00,2022-03-27T13:33:39.774,73,26,30,18,30,29,40,READY,false
2022-03-28T00:00:00,2022-03-28T17:44:07.684,77,28,30,19,30,30,40,READY,false
2022-03-29T00:00:00,2022-03-29T16:59:25.048,78,28,30,21,30,29,40,READY,false
2022-03-30T00:00:00,2022-03-30T15:46:30.124,68,25,30,19,30,24,40,READY,false
2022-03-31T00:00:00,2022-03-31T11:44:26.504,73,25,30,24,30,24,40,READY,false
2022-04-01T00:00:00,2022-04-01T14:25:05.469,73,28,30,21,30,24,40,READY,false
2022-04-02T00:00:00,2022-04-02T14:47:36.373,66,24,30,18,30,24,40,READY,false
2022-04-03T00:00:00,2022-04-03T15:59:23.022,65,25,30,16,30,24,40,READY,false
2022-04-04T00:00:00,2022-04-04T13:42:54.327,63,25,30,17,30,21,40,READY,false
2022-04-05T00:00:00,2022-04-05T14:58:09.966,65,25,30,19,30,21,40,READY,false
2022-04-06T00:00:00,2022-04-06T15:51:10.798,72,27,30,19,30,26,40,READY,false
2022-04-07T00:00:00,2022-04-07T15:14:04.4,61,20,30,15,30,26,40,READY,false
2022-04-08T00:00:00,2022-04-08T12:46:40.62,67,24,30,16,30,27,40,READY,false
2022-04-09T00:00:00,2022-04-09T14:38:33.834,77,25,30,15,30,37,40,READY,false
2022-04-10T00:00:00,2022-04-10T15:00:45.922,78,25,30,21,30,32,40,READY,false
2022-04-11T00:00:00,2022-04-11T14:26:54.058,72,26,30,16,30,30,40,READY,false
2022-04-12T00:00:00,2022-04-12T14:09:40.727,84,28,30,16,30,40,40,READY,false
2022-04-13T00:00:00,2022-04-13T12:45:35.797,73,26,30,17,30,30,40,READY,false
2022-04-14T00:00:00,2022-04-14T14:31:06.141,0,0,0,0,0,0,0,NO_DATA,true
2022-04-15T00:00:00,2022-04-15T14:06:51.441,79,25,30,22,30,32,40,READY,false
